business_name,address,city,postal_code,website,phone,owner_name,owner_confidence,owner_source,industry,category_standardized,employee_range_estimate,revenue_range_estimate,sde_range_estimate,age_range_estimate,acquisition_fit_score,important_notes
Laurel Steel,5400 Harvester Rd,Burlington,L7L 5N5,http://www.laurelsteel.com/,(905) 681-6811,Not found,none,Owner not found - manual research required,manufacturing,Light Manufacturing,12-35,$1.8M-$3.1M,$314K-$425K,10-20 years,88,Category: Light Manufacturing | High acquisition fit – priority follow-up
Nutem Custom Manufacturing Ltd,1105 Clay Ave,Burlington,L7L 0A1,http://www.nutem.com/,(905) 332-9600,Saquib Khan,high,LinkedIn + Crunchbase (CEO & Owner),manufacturing,Light Manufacturing,12-35,$1.6M-$3.0M,$291K-$394K,10-20 years,98,Category: Light Manufacturing | Revenue in ideal SMB band | High acquisition fit – priority follow-up
FibreCast Inc - Refractory Materials,3264 Mainway,Burlington,L7M 1A7,https://www.fibrecast.com/,(905) 319-1080,George Badovinac,high,ZoomInfo (CEO & Founder since 1993),manufacturing,Light Manufacturing,12-35,$1.6M-$3.0M,$291K-$394K,10-20 years,98,Category: Light Manufacturing | Revenue in ideal SMB band | High acquisition fit – priority follow-up
H & H Manufacturing,4330 Mainway,Burlington,L7L 5R7,http://www.hhmfg.com/,(905) 335-5532,Not found,none,Owner not found - manual research required,manufacturing,Light Manufacturing,12-35,$1.6M-$3.0M,$291K-$394K,10-20 years,98,Category: Light Manufacturing | Revenue in ideal SMB band | High acquisition fit – priority follow-up
Tempel Canada Company,5045 North Service Rd,Burlington,L7L 5H6,https://www.tempel.com/,(905) 335-2530,Geoff Gilmore,medium,Parent company CEO (Worthington Steel),manufacturing,Light Manufacturing,12-35,$1.6M-$3.0M,$291K-$394K,10-20 years,98,Category: Light Manufacturing | Revenue in ideal SMB band | High acquisition fit – priority follow-up
MG Chemicals Ltd,1210 Corporate Drive,Burlington,L7L 5R6,https://mgchemicals.com/,(905) 331-1396,Jason Rogers,high,Business directories (CEO),manufacturing,Light Manufacturing,12-35,$1.6M-$3.0M,$291K-$394K,10-20 years,98,Category: Light Manufacturing | Revenue in ideal SMB band | High acquisition fit – priority follow-up
Sympro CNC Machining & Mfg. Inc.,955 Century Drive,Burlington,L7L 5J8,http://www.symprocnc.com/,(905) 331-9490,Balak (Bill) Barmi,high,LinkedIn (President),manufacturing,Machining & Fabrication,12-35,$1.5M-$3.0M,$286K-$387K,10-20 years,100,Category: Machining & Fabrication – strong B2B margins | Revenue in ideal SMB band | High acquisition fit – priority follow-up
BSB Manufacturing,5316 John Lucas Drive,Burlington,L7L 6A6,http://www.bsbmfg.com/,(289) 245-1030,Narinder Bhogal,high,"Company website (President, Family-owned)",manufacturing,Light Manufacturing,12-35,$1.5M-$3.0M,$286K-$387K,10-20 years,98,Category: Light Manufacturing | Revenue in ideal SMB band | High acquisition fit – priority follow-up
URtech Manufacturing Inc.,835 Harrington Court,Burlington,L7N 3P3,http://www.urtechmfg.com/,(905) 667-2310,Greg Gehl,high,Business interviews (President & Founder),manufacturing,Light Manufacturing,12-35,$1.5M-$3.0M,$286K-$387K,10-20 years,98,Category: Light Manufacturing | Revenue in ideal SMB band | High acquisition fit – priority follow-up
Apache Plastics,4081 Fairview St,Burlington,L7N 2G1,http://www.apacheplastics.com/,(905) 632-0848,Not found,none,Owner not found - manual research required,manufacturing,Light Manufacturing,12-35,$1.4M-$3.0M,$280K-$379K,10-20 years,98,Category: Light Manufacturing | Revenue in ideal SMB band | High acquisition fit – priority follow-up
Rice Tool & Manufacturing Inc,2247 Harold Rd,Burlington,L7P 2K3,http://www.ricetool.com/,(905) 335-0181,Neil Teague,high,Business directories (President),manufacturing,Light Manufacturing,12-35,$1.4M-$3.0M,$280K-$379K,10-20 years,98,Category: Light Manufacturing | Revenue in ideal SMB band | High acquisition fit – priority follow-up
EarthFresh,1095 Clay Ave,Burlington,L7L 0A1,http://www.earthfreshfoods.com/,(416) 251-2271,Tom Hughes,high,ZoomInfo + LinkedIn (CEO),wholesale,Wholesale Distribution,10-25,$1.6M-$2.6M,$268K-$363K,10-20 years,78,Category: Wholesale Distribution
