Business Name,Primary Email,Owner Email Patterns,Alternative Patterns,Website,Notes
Northern Uniform,Contact form only,Unknown owner,info@northernuniform.com,northernuniform.com,"Use contact form - family-owned since 1901"
Aitchison Lumber,Unknown,Unknown owner,"info@aitchisonlumber.com, sales@aitchisonlumber.com",Unknown,"Need to find website/contact info"
Dayside Windows,Contact form only,Unknown owner,"info@dayside.ca, sales@dayside.ca",www.dayside.ca,"Contact form available, family-owned 65+ years"
Topper Linen & Uniform,Unknown,Unknown owner,"info@topperlinen.com, contact@topperlinen.com",Unknown,"Need website/contact research"
Country Meat Packing,Unknown,"josef@countrymeatpacking.com, josef.stevens@countrymeatpacking.com","info@countrymeatpacking.com, sales@countrymeatpacking.com",countrymeatpacking.com,"Josef Stevens owner, 3-generation family"
Award Windows,info@awardwindows.ca,Unknown owner,"sales@awardwindows.ca, contact@awardwindows.ca",awardwindows.ca,"Main email found, family-run 60+ years"
Janco Steel Ltd,sales@jancosteel.com,"carl.evink@jancosteel.com, c.evink@jancosteel.com","info@jancosteel.com, contact@jancosteel.com",www.jancosteel.com,"Carl Evink Director, sales email confirmed"
Novacro Machining,Contact form only,Unknown owner,"info@novacro.com, sales@novacro.com",www.novacro.com,"Contact form, family-owned since 1983"
Birnie Plumbing,info@birnieplumbinganddrains.ca,Unknown owner,"contact@birnieplumbinganddrains.ca, service@birnieplumbinganddrains.ca",www.birnieplumbinganddrains.ca,"Main email found, 5-generation family business"
Campbell Glass & Mirror,info@campbellglass.ca,"manny@campbellglass.ca, zena@campbellglass.ca","contact@campbellglass.ca, sales@campbellglass.ca",campbellglass.ca,"Manny & Zena Fresco owners, main email confirmed"
